N,Time,X_pos,Y_pos,Value
1,18:04,0.0,0.0,0.01195662
2,18:06,0.0,0.0075,0.01328796
3,18:09,0.0,0.0175,0.0150553
4,18:11,0.0,0.0275,0.01462594
5,18:13,0.0,0.0375,0.0109398
6,18:16,0.0,0.05,0.01097552
7,18:18,0.0,0.0575,0.01363284
8,18:20,0.0,0.07,0.011091436
9,18:22,0.0,0.0775,0.010210526
10,18:25,0.0,0.09,0.009500022
11,18:28,0.0,0.1,0.006615164
12,18:30,0.0,0.1075,0.004799562
13,18:33,0.0,0.1175,0.009709062000000001
14,18:35,0.0,0.1275,0.010508242
15,18:38,0.0,0.14,0.007516589999999999
16,18:41,0.0,0.15,0.008227571999999999
17,18:44,0.0,0.1575,0.012741542
18,18:47,0.0,0.17,0.009724146
19,18:50,0.0,0.18,0.007227472
20,18:52,0.0,0.1875,0.011216162
21,18:55,0.0,0.2,0.00999648
22,18:57,0.0,0.2075,0.0078121959999999996
23,19:00,0.0,0.2175,0.00906469
24,19:03,0.0,0.23,0.008922161999999999
25,19:06,0.0,0.2375,0.009076748
26,19:10,0.0,0.25,0.009731356
27,19:13,0.0,0.2575,0.010864516
28,19:16,0.0,0.27,0.0091282
29,19:19,0.0,0.28,0.010757422
30,19:21,0.0,0.2875,0.007467408
31,19:23,0.0,0.3,0.006889144
32,19:26,0.0,0.31,0.01341866
33,19:28,0.0,0.3175,0.010628566
34,19:31,0.0,0.33,0.011166742
35,19:34,0.0,0.34,0.009307658
36,19:36,0.0,0.3475,0.01127073
37,19:39,0.0,0.36,0.010848172
38,19:42,0.0,0.37,0.008856392
39,19:44,0.0,0.3775,0.00693531
40,19:46,0.0,0.3875,0.00768466
41,19:49,0.0,0.4,0.010851096
42,19:51,0.0,0.4075,0.011674406
43,19:53,0.0,0.4175,0.005417194
44,19:56,0.0,0.43,0.009294582
45,19:58,0.0,0.4375,0.009961386000000001
46,20:00,0.0,0.4475,0.00437789
47,20:02,0.0,0.46,0.009569062
48,20:05,0.0,0.4675,0.006795972
49,20:07,0.0,0.4775,0.00552045
50,20:09,0.0,0.49,0.005688586
51,20:12,0.0,0.5,0.009685918
52,20:14,0.0,0.5075,0.00669332
53,20:16,0.0,0.5175,0.003146912
54,20:19,0.0,0.5275,0.006105724
55,20:21,0.0,0.54,0.007056048
56,20:23,0.0,0.55,0.006738158
57,20:25,0.0,0.56,0.0073018879999999994
58,20:28,0.0,0.5675,0.005244372
59,20:30,0.0,0.5775,0.008924298
60,20:33,0.0,0.5875,0.011846579999999999
61,20:35,0.0,0.6,0.011011314
62,20:37,0.0,0.61,0.01137636
63,20:40,0.0,0.62,0.010047126
64,20:43,0.0,0.6275,0.009552286
65,20:45,0.0,0.6375,0.01379268
66,20:48,0.0,0.6475,0.0123138
67,20:50,0.0,0.66,0.008431692
68,20:52,0.0,0.67,0.01221068
69,20:55,0.0,0.68,0.00770447
70,20:57,0.0,0.6875,0.01414088
71,20:59,0.0,0.6975,0.01327874
72,21:01,0.0,0.7075,0.01091064
73,21:04,0.0,0.72,0.01324524
74,21:06,0.0,0.73,0.01401962
75,21:08,0.0,0.74,0.01142312
76,21:11,0.0,0.75,0.01295904
77,21:14,0.0,0.7575,0.01219126
78,21:17,0.0,0.7675,0.010823578
79,21:20,0.0,0.7775,0.016498040000000002
80,21:23,0.0,0.79,0.01818254
81,21:25,0.0,0.8,0.02398946
82,21:28,0.0,0.81,0.030109939999999998
83,21:30,0.0,0.8175,0.03635096
84,21:32,0.0,0.8275,0.04672678
85,21:35,0.0,0.8375,0.05455934
86,21:38,0.0,0.85,0.06697124
87,21:40,0.0,0.86,0.07701798
88,21:43,0.0,0.87,0.08499024
89,21:45,0.0,0.8775,0.08594582
90,21:48,0.0,0.8875,0.09069239999999999
91,21:50,0.0,0.8975,0.09561236000000001
92,21:53,0.0,0.91,0.09499668
93,21:56,0.0,0.92,0.09757008
94,21:58,0.0,0.93,0.09586066
95,22:01,0.0,0.9375,0.09536106
96,22:03,0.0,0.9475,0.09998754
97,22:05,0.0,0.9575,0.09895432
98,22:08,0.0,0.97,0.09918314
99,22:10,0.0,0.98,0.09848854
100,22:12,0.0,0.99,0.1025904
101,22:14,0.0,1.0,0.10038464
102,22:17,0.0,1.0075,0.0991473
103,22:19,0.0,1.0175,0.09912894
104,22:21,0.0,1.0275,0.10011764
105,22:24,0.0,1.0375,0.09736386
106,22:26,0.0,1.0475,0.1020276
107,22:28,0.0,1.0575,0.09876192
108,22:31,0.0,1.07,0.10007294
109,22:33,0.0,1.08,0.10122036
110,22:35,0.0,1.09,0.09947718
111,22:37,0.0,1.1,0.1022404
112,22:40,0.0,1.11,0.09817794
113,22:42,0.0,1.12,0.1013816
114,22:44,0.0,1.1275,0.10088891999999999
115,22:47,0.0,1.1375,0.1032368
116,22:49,0.0,1.1475,0.09981318
117,22:51,0.0,1.1575,0.10262884
118,22:54,0.0,1.1675,0.09848072
